ID	
7	 18	0
7	 19	0.66551144
7	 20	0.47991188
7	 21	0.47991188
7	 22	0.47991188
7	 23	0.47991188
7	 24	0.47991188
7	 25	0.47991188
7	 26	0.47991188
7	 27	0.47991188
7	 28	0.48824604
7	 29	0.48824604
7	 30	0.48824604
7	 31	0.48824604
7	 32	0.48824604
7	 33	0.48824604
7	 34	0.48824604
8	 1	0.47112794
8	 2	0.454481
8	 3	0
8	 4	0
8	 5	0
8	 6	0
8	 7	0
8	 8	0
8	 9	0
8	 10	0
8	 11	0
8	 12	0
8	 13	0
8	 14	0
8	 15	0
8	 16	0
8	 17	0
8	 18	0
8	 19	0.66551144
8	 20	0.47991188
8	 21	0.47991188
8	 22	0.47991188
8	 23	0.47991188
8	 24	0.47991188
8	 25	0.47991188
8	 26	0.47991188
8	 27	0.47991188
8	 28	0.48824604
8	 29	0.48824604
8	 30	0.48824604
8	 31	0.48824604
8	 32	0.48824604
8	 33	0.48824604
8	 34	0.48824604
9	 1	0.47112794
9	 2	0.454481
9	 3	0
9	 4	0
9	 5	0
9	 6	0
9	 7	0
9	 8	0
9	 9	0
9	 10	0
9	 11	0
9	 12	0
9	 13	0
9	 14	0
9	 15	0
9	 16	0
9	 17	0
9	 18	0
9	 19	0.66551144
9	 20	0.47991188
9	 21	0.47991188
9	 22	0.47991188
9	 23	0.47991188
9	 24	0.47991188
9	 25	0.47991188
9	 26	0.47991188
9	 27	0.47991188
9	 28	0.48824604
9	 29	0.48824604
9	 30	0.48824604
9	 31	0.48824604
9	 32	0.48824604
9	 33	0.48824604
9	 34	0.48824604
10	 1	0.47112794
10	 2	0.454481
10	 3	0
10	 4	0
10	 5	0
10	 6	0
10	 7	0
10	 8	0
10	 9	0
10	 10	0
10	 11	0
10	 12	0
10	 13	0
10	 14	0
10	 15	0
10	 16	0
10	 17	0
10	 18	0
10	 19	0.66551144
10	 20	0.47991188
10	 21	0.47991188
10	 22	0.47991188
10	 23	0.47991188
10	 24	0.47991188
10	 25	0.47991188
10	 26	0.47991188
10	 27	0.47991188
10	 28	0.48824604
10	 29	0.48824604
10	 30	0.48824604
10	 31	0.48824604
10	 32	0.48824604
10	 33	0.48824604
10	 34	0.48824604
11	 1	0.47112794
11	 2	0.454481
11	 3	0
11	 4	0
11	 5	0
11	 6	0
11	 7	0
11	 8	0
11	 9	0
11	 10	0
11	 11	0
11	 12	0
11	 13	0
11	 14	0
11	 15	0
11	 16	0
11	 17	0
11	 18	0
11	 19	0.66551144
11	 20	0.47991188
11	 21	0.47991188
11	 22	0.47991188
11	 23	0.47991188
11	 24	0.47991188
11	 25	0.47991188
11	 26	0.47991188
11	 27	0.47991188
11	 28	0.48824604
11	 29	0.48824604
11	 30	0.48824604
11	 31	0.48824604
11	 32	0.48824604
11	 33	0.48824604
11	 34	0.48824604
12	 1	0.47112794
12	 2	0.454481
12	 3	0
12	 4	0
12	 5	0
12	 6	0
12	 7	0
12	 8	0
12	 9	0
12	 10	0
12	 11	0
12	 12	0
12	 13	0
12	 14	0
12	 15	0
12	 16	0
12	 17	0
12	 18	0
12	 19	0.66551144
12	 20	0.47991188
12	 21	0.47991188
12	 22	0.47991188
12	 23	0.47991188
12	 24	0.47991188
12	 25	0.47991188
12	 26	0.47991188
12	 27	0.47991188
12	 28	0.48824604
12	 29	0.48824604
12	 30	0.48824604
12	 31	0.48824604
12	 32	0.48824604
12	 33	0.48824604
12	 34	0.48824604
13	 1	0.47112794
13	 2	0.454481
13	 3	0
13	 4	0
13	 5	0
13	 6	0
13	 7	0
13	 8	0
13	 9	0
13	 10	0
13	 11	0
13	 12	0
13	 13	0
13	 14	0
13	 15	0
13	 16	0
13	 17	0
13	 18	0
13	 19	0.66551144
13	 20	0.47991188
13	 21	0.47991188
13	 22	0.47991188
13	 23	0.47991188
13	 24	0.47991188
13	 25	0.47991188
13	 26	0.47991188
13	 27	0.47991188
13	 28	0.48824604
13	 29	0.48824604
13	 30	0.48824604
13	 31	0.48824604
13	 32	0.48824604
13	 33	0.48824604
13	 34	0.48824604
14	 1	0.47112794
14	 2	0.454481
14	 3	0
14	 4	0
14	 5	0
14	 6	0
14	 7	0
14	 8	0
14	 9	0
14	 10	0
14	 11	0
14	 12	0
14	 13	0
14	 14	0
14	 15	0
14	 16	0
14	 17	0
14	 18	0
14	 19	0.66551144
14	 20	0.47991188
14	 21	0.47991188
14	 22	0.47991188
14	 23	0.47991188
14	 24	0.47991188
14	 25	0.47991188
14	 26	0.47991188
14	 27	0.47991188
14	 28	0.48824604
14	 29	0.48824604
14	 30	0.48824604
14	 31	0.48824604
14	 32	0.48824604
14	 33	0.48824604
14	 34	0.48824604
15	 1	0.47112794
15	 2	0.454481
15	 3	0
15	 4	0
15	 5	0
15	 6	0
15	 7	0
15	 8	0
15	 9	0
15	 10	0
15	 11	0
15	 12	0
15	 13	0
15	 14	0
15	 15	0
15	 16	0
15	 17	0
15	 18	0
15	 19	0.66551144
15	 20	0.47991188
15	 21	0.47991188
15	 22	0.47991188
15	 23	0.47991188
15	 24	0.47991188
15	 25	0.47991188
15	 26	0.47991188
15	 27	0.47991188
15	 28	0.48824604
15	 29	0.48824604
15	 30	0.48824604
15	 31	0.48824604
15	 32	0.48824604
